Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,2.768382663,,,4.506179098,15.4428,17.1,18.8,20.8,23.0,25.4,28.0,30.9,52.0,58.0,62.0,69.0,74.0,78.9,83.78,88.6612,93.5425,97.17,,,,,,
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0017323024888055538,0.0050408083644876535,0.01462949414256358,0.031709733637147464,0.08649631056184603,0.1127522121609742,0.21319240215520496,0.38677241695947295,0.569512051222246,0.7705543117634808,0.9567315792881155,1.1255802682129123,1.421555229129566,1.7069616555433065,1.8,1.9,2.7,3.0,3.5,5.3,6.8,8.4,10.0,12.1,14.3,15.7,17.4,19.8,22.8,26.0,29.5,31.4,34.9
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.00472257,0.0045614,0.0878913,0.105809,1.22415,2.10712,1.9,1.84,3.55,4.0,5.0,5.45455,5.9,7.0,8.26,11.0,13.5,16.8,17.6,18.4,,,
Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,4.3734730300398465e-6,0.00013293780878135842,0.0070178877270850966,0.019945459205878587,0.03564833385481634,0.08658327292336973,0.13939283969094232,0.21010842865395224,0.41217704456468085,0.6581258876938416,1.1785785593300713,2.3,3.4,4.2,5.0,5.8,7.2,8.7,10.3,12.6,14.9,17.2,19.9,23.2,25.7,28.9,32.4,34.3,36.9,39.4
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.000775929,0.005673746,0.018453724,0.071964087,0.105046,0.136014,0.270377,0.370682,0.464815,1.14337,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13.0,21.3623,22.0,23.2,26.0,29.0,32.1294,36.6347,37.8067,39.2935,
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097,0.325798,0.390081,0.9719,2.42039,6.04389,9.60999,15.0361,23.86,41.2,45.0,47.0,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.5504,72.2377,79.3237,82.6137,83.1356
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,1.526601023,3.050175385,6.886209218,7.635686143,10.5388,,11.2605,13.5464,26.838,37.6058,48.9368,70.87,70.04,78.53,81.0,81.0,82.7,84.4,86.1,87.9,89.7,91.5675,,90.7187,93.2056,93.8975,94.4855,
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0008646341972295704,0.002877601434511447,0.014685668573119192,0.040272766761247865,0.14194827981427321,0.28381160432055397,0.6448002024110283,1.1995872773221332,1.5912098984739929,2.750530670666169,3.720178696491541,7.214643872425987,8.560248422585929,11.464763927441393,14.077789522841442,18.155128349519906,21.032914815407313,25.176505911896143,27.0087789454644,30.24172005048353,33.36236252758771,37.0277926842634,40.982381570301214,41.070013498578305,48.19183796055518,52.51730382499276,60.07830924215061,60.2643027640711,64.16842875010427,67.35640991921305,
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.102939175,0.375393534,3.295592694,6.908302986,14.94269899,23.6253,26.2718,28.3165,29.478,30.1313,40.0,52.0,61.0,63.0,64.0,68.0,78.0,85.0,88.0,90.4,90.5,90.6,94.8199,98.45,99.15,100.0,100.0,100.0,100.0
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.03868,9.78081,10.8821,11.9137,16.0367,17.7206,20.9272,25.9466,28.1126,34.0,45.0,51.0,55.8,59.9,64.7,68.0431,70.969,74.2949,77.7,79.947,85.5144,87.1507,88.3754,89.229
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.009117014,0.052743123,0.094572902,0.111650935,0.128659478,0.970737757,1.30047,1.63109,1.96041,4.57522,4.89901,5.25298,5.63179,6.02125,6.21,15.3,25.0,32.0,37.5,41.9,54.6228,59.1008,64.346,64.7449,68.2451,66.5439,76.5077,78.6123,77.0277,
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.48223,8.89929,12.5,17.2286,24.2665,27.0,30.0,34.0,38.0,42.0,47.0,52.0,58.0,63.4,67.78,70.0,73.0,76.2,79.6,83.2,86.8837,87.074,91.4123,
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.585094712,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.7561,52.6893,,,,63.0,66.0,69.45,71.67,74.25,76.0,79.4877,79.0,83.4535,84.0,84.5605,86.54,86.545,90.0,93.6099,94.6935,94.9886,94.8762,
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.130369377,0.259081553,0.642817619,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.7301,39.1855,36.56,42.7,54.28,58.0,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.6188,80.9958,83.9401,84.3237,87.9356,87.4791,87.7522,87.5294,92.5292,93.6141,95.3347
